wavelength,V450_power,B500_power,G550_power,Y570_power,O600_power,R650_power
618,1.37E-02,5.65E-03,9.62E-03,1.30E-02,3.25E-01,4.83E-01
620,1.23E-02,5.97E-03,9.95E-03,1.16E-02,2.81E-01,5.44E-01
622,1.03E-02,5.97E-03,9.95E-03,1.10E-02,2.42E-01,6.08E-01
624,8.57E-03,5.97E-03,9.95E-03,1.03E-02,2.13E-01,6.66E-01
626,7.20E-03,5.65E-03,9.95E-03,9.24E-03,1.79E-01,7.18E-01
628,6.51E-03,5.97E-03,9.62E-03,7.87E-03,1.40E-01,7.90E-01
630,6.17E-03,6.28E-03,8.96E-03,6.85E-03,1.14E-01,8.80E-01
632,5.49E-03,6.91E-03,8.62E-03,6.51E-03,8.66E-02,9.10E-01
634,4.80E-03,6.91E-03,8.96E-03,6.16E-03,6.95E-02,9.31E-01
636,4.11E-03,7.22E-03,9.62E-03,5.82E-03,5.28E-02,9.39E-01
638,3.77E-03,6.28E-03,9.95E-03,5.48E-03,3.64E-02,9.60E-01
640,3.77E-03,4.71E-03,1.03E-02,5.14E-03,2.62E-02,9.82E-01
642,4.11E-03,4.08E-03,1.10E-02,5.14E-03,2.00E-02,1.00E+00
644,4.46E-03,3.77E-03,1.16E-02,5.48E-03,1.71E-02,1.00E+00
646,4.80E-03,3.46E-03,1.29E-02,5.82E-03,1.53E-02,9.88E-01
648,4.80E-03,4.08E-03,1.36E-02,6.16E-03,1.35E-02,9.37E-01
650,5.14E-03,4.08E-03,1.33E-02,6.51E-03,1.09E-02,8.72E-01
652,5.49E-03,4.71E-03,1.26E-02,6.85E-03,8.73E-03,8.07E-01
654,6.17E-03,5.34E-03,1.16E-02,7.53E-03,7.64E-03,7.60E-01
656,7.54E-03,6.28E-03,1.06E-02,8.56E-03,6.91E-03,7.01E-01
658,9.26E-03,7.22E-03,9.62E-03,9.24E-03,6.91E-03,6.63E-01
660,1.13E-02,7.54E-03,8.29E-03,9.59E-03,6.55E-03,5.92E-01
662,1.30E-02,7.22E-03,7.30E-03,8.90E-03,6.18E-03,5.17E-01
664,1.37E-02,6.91E-03,6.97E-03,8.22E-03,5.46E-03,4.29E-01
666,1.27E-02,5.97E-03,6.97E-03,7.53E-03,5.09E-03,3.54E-01
668,9.94E-03,5.34E-03,7.63E-03,6.85E-03,4.73E-03,3.01E-01
670,6.86E-03,5.03E-03,8.29E-03,6.51E-03,5.09E-03,2.63E-01
672,4.46E-03,4.71E-03,8.96E-03,6.16E-03,5.09E-03,2.27E-01
674,3.09E-03,4.71E-03,9.29E-03,5.82E-03,5.46E-03,1.81E-01
676,2.74E-03,4.71E-03,9.62E-03,5.48E-03,5.46E-03,1.36E-01
678,2.74E-03,5.03E-03,9.62E-03,5.48E-03,5.46E-03,9.88E-02
680,2.74E-03,5.65E-03,9.29E-03,5.82E-03,5.82E-03,7.67E-02
682,2.74E-03,6.28E-03,8.62E-03,5.82E-03,6.55E-03,6.59E-02
684,3.09E-03,6.91E-03,7.30E-03,5.82E-03,7.64E-03,5.71E-02
686,3.43E-03,7.54E-03,5.64E-03,5.48E-03,8.37E-03,4.75E-02
688,4.11E-03,7.54E-03,4.64E-03,5.14E-03,8.73E-03,3.59E-02
690,5.14E-03,7.22E-03,4.31E-03,4.79E-03,8.73E-03,2.50E-02
692,6.17E-03,6.60E-03,4.31E-03,4.79E-03,8.00E-03,1.75E-02
694,8.23E-03,5.65E-03,4.31E-03,4.79E-03,7.28E-03,1.29E-02
