Lambda,nir610_power,nir680_power,nir730_power,nir760_power,nir810_power,nir860_power
468,0.0002012879247,0.0001510914057,0.0001943854653,0.000197560923,0.0001576919462,0.00006521951359
469,0.0001988053548,0.0001485365498,0.0001909916932,0.0001937913714,0.0001550905221,0.00007189209128
470,0.0001963227848,0.000145981694,0.0001875979211,0.0001900218198,0.000152489098,0.00007856466896
471,0.0001970758228,0.0001444002662,0.0001851681216,0.0001867959111,0.0001567415806,0.00009380908495
472,0.0001978288607,0.0001428188385,0.000182738322,0.0001835700023,0.0001609940633,0.0001090535009
473,0.0001935035895,0.0001435108991,0.0001831449221,0.0001814455632,0.0001642193759,0.0001071651928
474,0.0001891783182,0.0001442029598,0.0001835515222,0.0001793211241,0.0001674446885,0.0001052768846
475,0.0001858776961,0.0001398638048,0.0001867276266,0.0001805132549,0.0001652023601,0.0001111059711
476,0.0001825770739,0.0001355246498,0.000189903731,0.0001817053857,0.0001629600317,0.0001169350575
477,0.0001783388693,0.0001392446395,0.0001952691099,0.0001854348787,0.0001620518561,0.0001027012538
478,0.0001741006646,0.0001429646292,0.0002006344889,0.0001891643716,0.0001611436804,0.00008846744997
479,0.0001760769498,0.0001386981488,0.0001892751435,0.0001808579916,0.0001630190098,0.00008129677595
480,0.000178053235,0.0001344316684,0.0001779157982,0.0001725516115,0.0001648943392,0.00007412610193
481,0.0001778273522,0.0001357578345,0.0001798965869,0.0001694300156,0.0001616131702,0.0000762238519
482,0.0001776014694,0.0001370840006,0.0001818773756,0.0001663084197,0.0001583320012,0.00007832160187
483,0.000177332262,0.0001369951284,0.0001738169125,0.000167783198,0.0001553238447,0.00007235021661
484,0.0001770630545,0.0001369062562,0.0001657564494,0.0001692579763,0.0001523156882,0.00006637883135
485,0.0001782298529,0.0001368331961,0.0001732854326,0.0001686684585,0.0001551327833,0.00006695816429
486,0.0001793966514,0.0001367601361,0.0001808144159,0.0001680789407,0.0001579498784,0.00006753749722
487,0.000181457344,0.0001377314147,0.0001659314626,0.000167891014,0.0001521881074,0.00006726322354
488,0.0001835180367,0.0001387026934,0.0001510485093,0.0001677030874,0.0001464263365,0.00006698894987
489,0.0001849829082,0.0001401894032,0.0001445357319,0.0001691014501,0.0001528477987,0.00006691118234
490,0.0001864477798,0.0001416761131,0.0001380229545,0.0001704998128,0.0001592692609,0.0000668334148
491,0.0001866230381,0.0001426850133,0.0001475521634,0.0001725680962,0.0001594018548,0.00006740524995
492,0.0001867982963,0.0001436939136,0.0001570813723,0.0001746363796,0.0001595344487,0.0000679770851
493,0.0001866668376,0.0001438363337,0.0001571206377,0.0001758721177,0.0001609423882,0.00006883034739
494,0.000186535379,0.0001439787538,0.0001571599031,0.0001771078557,0.0001623503277,0.00006968360968
495,0.0001876421265,0.0001519060156,0.0001737864147,0.0001770351465,0.000157044821,0.00007018121146
